Film year,Ceremony year,Ceremony number,Winning category,Winner name,Film title,Film Duration,Film score
1936,1937,9,Film Editing,Ralph Dawson,Anthony Adverse,141,63.0
1936,1937,9,Music (scoring),"Warner Bros. Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)",Anthony Adverse,141,63.0
1936,1937,9,Music (song),Music by Jerome Kern; Lyrics by Dorothy Fields,Swing Time,103,75.0
1936,1937,9,Outstanding Production,Metro-Goldwyn-Mayer,The Great Ziegfeld,176,66.0
1936,1937,9,Short Subject (cartoon),"Walt Disney, Producer",The Country Cousin,9,68.0
1936,1937,9,Short Subject (color),Warner Bros.,Give Me Liberty,22,61.0
1936,1937,9,Short Subject (two-reel),Metro-Goldwyn-Mayer,The Public Pays,19,62.0
1936,1937,9,Sound Recording,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",San Francisco,115,72.0
1936,1937,9,Writing (original Story),"Pierre Collings, Sheridan Gibney",The Story of Louis Pasteur,86,73.0
1936,1937,9,Writing (screenplay),"Pierre Collings, Sheridan Gibney",The Story of Louis Pasteur,86,73.0
1937,1938,10,Actor,Spencer Tracy,Captains Courageous,117,79.0
1937,1938,10,Actor In A Supporting Role,Joseph Schildkraut,The Life of Emile Zola,116,72.0
1937,1938,10,Actress,Luise Rainer,The Good Earth,138,75.0
1937,1938,10,Actress In A Supporting Role,Alice Brady,In Old Chicago,95,67.0
1937,1938,10,Art Direction,Stephen Goosson,Lost Horizon,132,76.0
1937,1938,10,Assistant Director,Robert Webb,In Old Chicago,95,67.0
1937,1938,10,Cinematography,Karl Freund,The Good Earth,138,75.0
1937,1938,10,Dance Direction,Hermes Pan,A Damsel in Distress,101,68.0
1937,1938,10,Film Editing,"Gene Havlick, Gene Milford",Lost Horizon,132,76.0
1937,1938,10,Music (scoring),"Universal Studio Music Department, Charles Previn, head of department  (no composer credit)",One Hundred Men and a Girl,84,67.0
1937,1938,10,Music (song),Music and Lyrics by Harry Owens,Waikiki Wedding,89,59.0
1937,1938,10,Outstanding Production,Warner Bros.,The Life of Emile Zola,116,72.0
1937,1938,10,Short Subject (cartoon),"Walt Disney, Producer",The Old Mill,9,78.0
1937,1938,10,Short Subject (color),"Pete Smith, Producer",Penny Wisdom,10,61.0
1937,1938,10,Short Subject (one-reel),Skibo Productions,The Private Life of the Gannets,10,60.0
1937,1938,10,Short Subject (two-reel),Metro-Goldwyn-Mayer,Torture Money,21,60.0
1937,1938,10,Sound Recording,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",The Hurricane,104,72.0
1937,1938,10,Writing (original Story),"William A. Wellman, Robert Carson",A Star Is Born,111,73.0
1937,1938,10,Writing (screenplay),"Norman Reilly Raine, Heinz Herald, Geza Herczeg",The Life of Emile Zola,116,72.0
1938,1939,11,Actor,Spencer Tracy,Boys Town,96,72.0
1938,1939,11,Actor In A Supporting Role,Walter Brennan,Kentucky,96,62.0
1938,1939,11,Actress,Bette Davis,Jezebel,104,74.0
1938,1939,11,Actress In A Supporting Role,Fay Bainter,Jezebel,104,74.0
1938,1939,11,Art Direction,Carl J. Weyl,The Adventures of Robin Hood,102,79.0
1938,1939,11,Cinematography,Joseph Ruttenberg,The Great Waltz,104,65.0
1938,1939,11,Directing,Frank Capra,You Can't Take It with You,126,78.0
1938,1939,11,Film Editing,Ralph Dawson,The Adventures of Robin Hood,102,79.0
1938,1939,11,Music (original Score),Erich Wolfgang Korngold,The Adventures of Robin Hood,102,79.0
1938,1939,11,Music (scoring),Alfred Newman,Alexander's Ragtime Band,106,69.0
1938,1939,11,Music (song),Music by Ralph Rainger; Lyrics by Leo Robin,The Big Broadcast of 1938,91,61.0
1938,1939,11,Outstanding Production,Columbia,You Can't Take It with You,126,78.0
1938,1939,11,Short Subject (cartoon),"Walt Disney, Producer",Ferdinand the Bull,8,71.0
1938,1939,11,Short Subject (one-reel),Metro-Goldwyn-Mayer,That Mothers Might Live,10,63.0
1938,1939,11,Short Subject (two-reel),Warner Bros.,Declaration of Independence,17,59.0
1938,1939,11,Sound Recording,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",The Cowboy and the Lady,91,66.0
1938,1939,11,Writing (original Story),"Dore Schary, Eleanore Griffin",Boys Town,96,72.0
1938,1939,11,Writing (screenplay),"Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple",Pygmalion,96,77.0
1939,1940,12,Actor,Robert Donat,"Goodbye, Mr. Chips",114,79.0
1939,1940,12,Actor In A Supporting Role,Thomas Mitchell,Stagecoach,96,78.0
1939,1940,12,Actress,Vivien Leigh,Gone with the Wind,238,82.0
1939,1940,12,Actress In A Supporting Role,Hattie McDaniel,Gone with the Wind,238,82.0
1939,1940,12,Art Direction,Lyle Wheeler,Gone with the Wind,238,82.0
1939,1940,12,Cinematography (black-and-white),Gregg Toland,Wuthering Heights,104,75.0
1939,1940,12,Cinematography (color),"Ernest Haller, Ray Rennahan",Gone with the Wind,238,82.0
1939,1940,12,Directing,Victor Fleming,Gone with the Wind,238,82.0
1939,1940,12,Film Editing,"Hal C. Kern, James E. Newcom",Gone with the Wind,238,82.0
1939,1940,12,Music (original Score),Herbert Stothart,The Wizard of Oz,102,81.0
1939,1940,12,Music (scoring),"Richard Hageman, Frank Harling, John Leipold, Leo Shuken",Stagecoach,96,78.0
1939,1940,12,Music (song),Music by Harold Arlen; Lyrics by E. Y. Harburg,The Wizard of Oz,102,81.0
1939,1940,12,Outstanding Production,Selznick International Pictures,Gone with the Wind,238,82.0
1939,1940,12,Short Subject (cartoon),"Walt Disney, Producer",The Ugly Duckling,9,76.0
1939,1940,12,Short Subject (one-reel),Paramount,Busy Little Bears,10,66.0
1939,1940,12,Short Subject (two-reel),Warner Bros.,Sons of Liberty,20,58.0
1939,1940,12,Sound Recording,"Universal Studio Sound Department, Bernard B. Brown, Sound Director",When Tomorrow Comes,90,67.0
1939,1940,12,Special Effects,"Fred Sersen, E. H. Hansen",The Rains Came,103,69.0
1939,1940,12,Writing (original Story),Lewis R. Foster,Mr. Smith Goes to Washington,129,81.0
1939,1940,12,Writing (screenplay),Sidney Howard,Gone with the Wind,238,82.0
1940,1941,13,Actor,James Stewart,The Philadelphia Story,112,79.0
1940,1941,13,Actor In A Supporting Role,Walter Brennan,The Westerner,100,73.0
1940,1941,13,Actress,Ginger Rogers,Kitty Foyle,108,69.0
1940,1941,13,Actress In A Supporting Role,Jane Darwell,The Grapes of Wrath,129,81.0
1940,1941,13,Art Direction (black-and-white),"Cedric Gibbons, Paul Groesse",Pride and Prejudice,118,74.0
1940,1941,13,Art Direction (color),Vincent Korda,The Thief of Bagdad,106,74.0
1940,1941,13,Cinematography (black-and-white),George Barnes,Rebecca,130,81.0
1940,1941,13,Cinematography (color),Georges Périnal,The Thief of Bagdad,106,74.0
1940,1941,13,Directing,John Ford,The Grapes of Wrath,129,81.0
1940,1941,13,Film Editing,Anne Bauchens,North West Mounted Police,126,64.0
1940,1941,13,Music (original Score),"Leigh Harline, Paul J. Smith, Ned Washington",Pinocchio,88,75.0
1940,1941,13,Music (scoring),Alfred Newman,Tin Pan Alley,94,65.0
1940,1941,13,Music (song),Music by Leigh Harline; Lyrics by Ned Washington,Pinocchio,88,75.0
1940,1941,13,Outstanding Production,Selznick International Pictures,Rebecca,130,81.0
1940,1941,13,Short Subject (cartoon),Metro-Goldwyn-Mayer,The Milky Way,8,66.0
1940,1941,13,Short Subject (one-reel),"Pete Smith, Producer",Quicker 'N a Wink,10,72.0
1940,1941,13,Short Subject (two-reel),Warner Bros.,"Teddy, the Rough Rider",19,59.0
1940,1941,13,Sound Recording,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",Strike Up the Band,120,68.0
1940,1941,13,Special Effects,Photographic Effects by Lawrence Butler; Sound Effects by Jack Whitney,The Thief of Bagdad,106,74.0
1940,1941,13,Writing (original Screenplay),Preston Sturges,The Great McGinty,82,73.0
1940,1941,13,Writing (original Story),"Benjamin Glazer, John S. Toldy","Arise, My Love",110,69.0
1940,1941,13,Writing (screenplay),Donald Ogden Stewart,The Philadelphia Story,112,79.0
1941,1942,14,Actor,Gary Cooper,Sergeant York,134,77.0
1941,1942,14,Actor In A Supporting Role,Donald Crisp,How Green Was My Valley,118,77.0
1941,1942,14,Actress,Joan Fontaine,Suspicion,99,73.0
1941,1942,14,Actress In A Supporting Role,Mary Astor,The Great Lie,108,71.0
1941,1942,14,Art Direction (black-and-white),"Art Direction:  Richard Day, Nathan Juran;  Interior Decoration:  Thomas Little",How Green Was My Valley,118,77.0
1941,1942,14,Art Direction (color),"Art Direction:  Cedric Gibbons, Urie McCleary;  Interior Decoration:  Edwin B. Willis",Blossoms in the Dust,99,69.0
1941,1942,14,Cinematography (black-and-white),Arthur Miller,How Green Was My Valley,118,77.0
1941,1942,14,Cinematography (color),"Ernest Palmer, Ray Rennahan",Blood and Sand,125,68.0
1941,1942,14,Directing,John Ford,How Green Was My Valley,118,77.0
1941,1942,14,Documentary (short Subject),National Film Board of Canada,Churchill's Island,21,63.0
1941,1942,14,Film Editing,William Holmes,Sergeant York,134,77.0
1941,1942,14,Music (music Score Of A Dramatic Picture),Bernard Herrmann,All That Money Can Buy,107,76.0
1941,1942,14,Music (scoring Of A Musical Picture),"Frank Churchill, Oliver Wallace",Dumbo,64,72.0
1941,1942,14,Music (song),Music by Jerome Kern; Lyrics by Oscar Hammerstein II,Lady Be Good,112,64.0
1941,1942,14,Outstanding Motion Picture,20th Century-Fox,How Green Was My Valley,118,77.0
1941,1942,14,Short Subject (cartoon),"Walt Disney, Producer",Lend a Paw,8,69.0
1941,1942,14,Short Subject (one-reel),Metro-Goldwyn-Mayer,Of Pups and Puzzles,10,64.0
1941,1942,14,Short Subject (two-reel),Metro-Goldwyn-Mayer,Main Street on the March!,20,65.0
1941,1942,14,Sound Recording,"General Service Sound Department, Jack Whitney, Sound Director",That Hamilton Woman,125,72.0
1941,1942,14,Special Effects,"Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Louis Mesenkop",I Wanted Wings,135,63.0
1941,1942,14,Writing (original Screenplay),"Herman J. Mankiewicz, Orson Welles",Citizen Kane,119,83.0
1941,1942,14,Writing (original Story),Harry Segall,Here Comes Mr. Jordan,94,76.0
1941,1942,14,Writing (screenplay),"Sidney Buchman, Seton I. Miller",Here Comes Mr. Jordan,94,76.0
1942,1943,15,Actor,James Cagney,Yankee Doodle Dandy,126,76.0
1942,1943,15,Actress,Greer Garson,Mrs. Miniver,134,76.0
1942,1943,15,Actress In A Supporting Role,Teresa Wright,Mrs. Miniver,134,76.0
1942,1943,15,Art Direction (black-and-white),"Art Direction:  Richard Day, Joseph Wright;  Interior Decoration:  Thomas Little",This above All,110,67.0
1942,1943,15,Art Direction (color),"Art Direction:  Richard Day, Joseph Wright;  Interior Decoration:  Thomas Little",My Gal Sal,103,62.0
1942,1943,15,Cinematography (black-and-white),Joseph Ruttenberg,Mrs. Miniver,134,76.0
1942,1943,15,Cinematography (color),Leon Shamroy,The Black Swan,87,67.0
1942,1943,15,Directing,William Wyler,Mrs. Miniver,134,76.0
1942,1943,15,Documentary,United States Navy,The Battle of Midway,18,61.0
1942,1943,15,Documentary,Artkino,Moscow Strikes Back,55,67.0
1942,1943,15,Documentary,United States Army Special Services,Prelude to War,52,70.0
1942,1943,15,Film Editing,Daniel Mandell,The Pride of the Yankees,128,76.0
1942,1943,15,Music (music Score Of A Dramatic Or Comedy Picture),Max Steiner,"Now, Voyager",117,79.0
1942,1943,15,Music (scoring Of A Musical Picture),"Ray Heindorf, Heinz Roemheld",Yankee Doodle Dandy,126,76.0
1942,1943,15,Music (song),Music and Lyrics by Irving Berlin,Holiday Inn,100,73.0
1942,1943,15,Outstanding Motion Picture,Metro-Goldwyn-Mayer,Mrs. Miniver,134,76.0
