Film year,Ceremony year,Ceremony number,Winning category,Winner name,Film title,Film Duration,Film score
1947,1948,20,Actor,Ronald Colman,A Double Life,104,70.0
1947,1948,20,Actor In A Supporting Role,Edmund Gwenn,Miracle on 34th Street,96,79.0
1947,1948,20,Actress,Loretta Young,The Farmer's Daughter,97,72.0
1947,1948,20,Actress In A Supporting Role,Celeste Holm,Gentleman's Agreement,118,72.0
1947,1948,20,Art Direction (black-and-white),Art Direction:  John Bryan;  Set Decoration:  Wilfred Shingleton,Great Expectations,0,52.0
1947,1948,20,Art Direction (color),Art Direction:  Alfred Junge;  Set Decoration:  Alfred Junge,Black Narcissus,101,77.0
1947,1948,20,Cinematography (black-and-white),Guy Green,Great Expectations,0,52.0
1947,1948,20,Cinematography (color),Jack Cardiff,Black Narcissus,101,77.0
1947,1948,20,Directing,Elia Kazan,Gentleman's Agreement,118,72.0
1947,1948,20,Documentary (feature),"Sid Rogell, Executive Producer;  Theron Warth and Richard O. Fleischer, Producers",Design for Death,48,59.0
1947,1948,20,Film Editing,"Francis Lyon, Robert Parrish",Body and Soul,104,76.0
1947,1948,20,Music (music Score Of A Dramatic Or Comedy Picture),Dr. Miklos Rozsa,A Double Life,104,70.0
1947,1948,20,Music (scoring Of A Musical Picture),Alfred Newman,Mother Wore Tights,107,64.0
1947,1948,20,Best Motion Picture,20th Century-Fox,Gentleman's Agreement,118,72.0
1947,1948,20,Short Subject (cartoon),"Edward Selzer, Producer",Tweetie Pie,7,71.0
1947,1948,20,Short Subject (one-reel),"Herbert Moulton, Producer",Good-bye Miss Turlock,11,65.0
1947,1948,20,Sound Recording,"Samuel Goldwyn Studio Sound Department, Gordon Sawyer, Sound Director",The Bishop's Wife,109,76.0
1947,1948,20,Special Effects,"Special Visual Effects by A. Arnold Gillespie, Warren Newcombe; Special Audible Effects by Douglas Shearer, Michael Steinore",Green Dolphin Street,141,68.0
1947,1948,20,Writing (motion Picture Story),Valentine Davies,Miracle on 34th Street,96,79.0
1947,1948,20,Writing (original Screenplay),Sidney Sheldon,The Bachelor and the Bobby-Soxer,95,72.0
1947,1948,20,Writing (screenplay),George Seaton,Miracle on 34th Street,96,79.0
1948,1949,21,Actor,Laurence Olivier,Hamlet,154,76.0
1948,1949,21,Actor In A Supporting Role,Walter Huston,The Treasure of the Sierra Madre,126,82.0
1948,1949,21,Actress,Jane Wyman,Johnny Belinda,102,77.0
1948,1949,21,Actress In A Supporting Role,Claire Trevor,Key Largo,100,77.0
1948,1949,21,Art Direction (black-and-white),Art Direction:  Roger K. Furse;  Set Decoration:  Carmen Dillon,Hamlet,154,76.0
1948,1949,21,Art Direction (color),Art Direction:  Hein Heckroth;  Set Decoration:  Arthur Lawson,The Red Shoes,135,81.0
1948,1949,21,Cinematography (black-and-white),William Daniels,The Naked City,96,76.0
1948,1949,21,Cinematography (color),"Joseph Valentine, William V. Skall, Winton Hoch",Joan of Arc,145,64.0
1948,1949,21,Costume Design (black-and-white),Roger K. Furse,Hamlet,154,76.0
1948,1949,21,Costume Design (color),"Dorothy Jeakins, Karinska",Joan of Arc,145,64.0
1948,1949,21,Directing,John Huston,The Treasure of the Sierra Madre,126,82.0
1948,1949,21,Documentary (feature),"Orville O. Dull, Producer",The Secret Land,71,68.0
1948,1949,21,Film Editing,Paul Weatherwax,The Naked City,96,76.0
1948,1949,21,Music (music Score Of A Dramatic Or Comedy Picture),Brian Easdale,The Red Shoes,135,81.0
1948,1949,21,Music (scoring Of A Musical Picture),"Johnny Green, Roger Edens",Easter Parade,103,73.0
1948,1949,21,Music (song),Music and Lyrics by Jay Livingston and Ray Evans,The Paleface,91,66.0
1948,1949,21,Best Motion Picture,J. Arthur Rank-Two Cities Films,Hamlet,154,76.0
1948,1949,21,Short Subject (cartoon),"Fred Quimby, Producer",The Little Orphan,8,77.0
1948,1949,21,Short Subject (one-reel),"Edmund H. Reek, Producer",Symphony of a City,136,64.0
1948,1949,21,Short Subject (two-reel),"Walt Disney, Producer",Seal Island,27,73.0
1948,1949,21,Sound Recording,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director",The Snake Pit,108,76.0
1948,1949,21,Special Effects,"Special Visual Effects by Paul Eagler, J. McMillan Johnson, Russell Shearman, Clarence Slifer; Special Audible Effects by Charles Freeman, James G. Stewart",Portrait of Jennie,86,76.0
1948,1949,21,Writing (motion Picture Story),"Richard Schweizer, David Wechsler",The Search,104,78.0
1948,1949,21,Writing (screenplay),John Huston,The Treasure of the Sierra Madre,126,82.0
1949,1950,22,Actor,Broderick Crawford,All the King's Men,110,74.0
1949,1950,22,Actor In A Supporting Role,Dean Jagger,Twelve O'Clock High,132,77.0
1949,1950,22,Actress,Olivia de Havilland,The Heiress,115,81.0
1949,1950,22,Actress In A Supporting Role,Mercedes McCambridge,All the King's Men,110,74.0
1949,1950,22,Art Direction (black-and-white),"Art Direction:  Harry Horner, John Meehan;  Set Decoration:  Emile Kuri",The Heiress,115,81.0
1949,1950,22,Art Direction (color),"Art Direction:  Cedric Gibbons, Paul Groesse;  Set Decoration:  Edwin B. Willis, Jack D. Moore",Little Women,122,72.0
1949,1950,22,Cinematography (black-and-white),Paul C. Vogel,Battleground,118,74.0
1949,1950,22,Cinematography (color),Winton Hoch,She Wore a Yellow Ribbon,104,72.0
1949,1950,22,Costume Design (black-and-white),"Edith Head, Gile Steele",The Heiress,115,81.0
1949,1950,22,Costume Design (color),"Leah Rhodes, Travilla, Marjorie Best",The Adventures of Don Juan,110,70.0
1949,1950,22,Directing,Joseph L. Mankiewicz,A Letter to Three Wives,103,77.0
1949,1950,22,Documentary (feature),Crown Film Unit,Daybreak in Udi,47,51.0
1949,1950,22,Film Editing,Harry Gerstad,Champion,99,74.0
1949,1950,22,Music (music Score Of A Dramatic Or Comedy Picture),Aaron Copland,The Heiress,115,81.0
1949,1950,22,Music (scoring Of A Musical Picture),"Roger Edens, Lennie Hayton",On the Town,98,73.0
1949,1950,22,Music (song),Music and Lyrics by Frank Loesser,Neptune's Daughter,95,63.0
1949,1950,22,Best Motion Picture,Robert Rossen Productions,All the King's Men,110,74.0
1949,1950,22,Short Subject (cartoon),"Edward Selzer, Producer",For Scent-Imental Reasons,7,72.0
1949,1950,22,Sound Recording,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director",Twelve O'Clock High,132,77.0
1949,1950,22,Special Effects,ARKO Productions,Mighty Joe Young,94,70.0
1949,1950,22,Writing (motion Picture Story),Douglas Morrow,The Stratton Story,106,71.0
1949,1950,22,Writing (screenplay),Joseph L. Mankiewicz,A Letter to Three Wives,103,77.0
1949,1950,22,Writing (story And Screenplay),Robert Pirosh,Battleground,118,74.0
1950,1951,23,Actor,José Ferrer,Cyrano de Bergerac,113,74.0
1950,1951,23,Actor In A Supporting Role,George Sanders,All about Eve,138,82.0
1950,1951,23,Actress,Judy Holliday,Born Yesterday,103,75.0
1950,1951,23,Actress In A Supporting Role,Josephine Hull,Harvey,104,79.0
1950,1951,23,Art Direction (black-and-white),"Art Direction:  Hans Dreier, John Meehan;  Set Decoration:  Sam Comer, Ray Moyer",Sunset Blvd.,110,84.0
1950,1951,23,Art Direction (color),"Art Direction:  Hans Dreier, Walter Tyler;  Set Decoration:  Sam Comer, Ray Moyer",Samson and Delilah,134,68.0
1950,1951,23,Cinematography (color),Robert Surtees,King Solomon's Mines,103,68.0
1950,1951,23,Costume Design (black-and-white),"Edith Head, Charles LeMaire",All about Eve,138,82.0
1950,1951,23,Costume Design (color),"Edith Head, Dorothy Jeakins, Elois Jenssen, Gile Steele, Gwen Wakeling",Samson and Delilah,134,68.0
1950,1951,23,Directing,Joseph L. Mankiewicz,All about Eve,138,82.0
1950,1951,23,Documentary (feature),"Robert Snyder, Producer",The Titan: Story of Michelangelo,70,67.0
1950,1951,23,Film Editing,"Ralph E. Winters, Conrad A. Nervig",King Solomon's Mines,103,68.0
1950,1951,23,Music (music Score Of A Dramatic Or Comedy Picture),Franz Waxman,Sunset Blvd.,110,84.0
1950,1951,23,Music (scoring Of A Musical Picture),"Adolph Deutsch, Roger Edens",Annie Get Your Gun,107,69.0
1950,1951,23,Music (song),Music and Lyrics by Ray Evans and Jay Livingston,"Captain Carey, U.S.A.",82,62.0
1950,1951,23,Best Motion Picture,20th Century-Fox,All about Eve,138,82.0
1950,1951,23,Short Subject (cartoon),"Stephen Bosustow, Producer",Gerald McBoing-Boing,8,71.0
1950,1951,23,Short Subject (one-reel),"Gordon Hollingshead, Producer",Grandad of Races,9,58.0
1950,1951,23,Short Subject (two-reel),"Walt Disney, Producer",In Beaver Valley,32,70.0
1950,1951,23,Sound Recording,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director",All about Eve,138,82.0
1950,1951,23,Special Effects,George Pal Productions,Destination Moon,92,63.0
1950,1951,23,Writing (motion Picture Story),"Edna Anhalt, Edward Anhalt",Panic in the Streets,96,72.0
1950,1951,23,Writing (screenplay),Joseph L. Mankiewicz,All about Eve,138,82.0
1950,1951,23,Writing (story And Screenplay),"Charles Brackett, Billy Wilder, D. M. Marshman, Jr.",Sunset Blvd.,110,84.0
1951,1952,24,Actor,Humphrey Bogart,The African Queen,105,77.0
1951,1952,24,Actor In A Supporting Role,Karl Malden,A Streetcar Named Desire,122,79.0
1951,1952,24,Actress,Vivien Leigh,A Streetcar Named Desire,122,79.0
1951,1952,24,Actress In A Supporting Role,Kim Hunter,A Streetcar Named Desire,122,79.0
1951,1952,24,Art Direction (black-and-white),Art Direction:  Richard Day;  Set Decoration:  George James Hopkins,A Streetcar Named Desire,122,79.0
1951,1952,24,Art Direction (color),"Art Direction:  Cedric Gibbons, Preston Ames;  Set Decoration:  Edwin B. Willis, Keogh Gleason",An American in Paris,114,72.0
1951,1952,24,Cinematography (black-and-white),William C. Mellor,A Place in the Sun,122,77.0
1951,1952,24,Cinematography (color),Alfred Gilks; Ballet Photography by John Alton,An American in Paris,114,72.0
1951,1952,24,Costume Design (black-and-white),Edith Head,A Place in the Sun,122,77.0
1951,1952,24,Costume Design (color),"Orry-Kelly, Walter Plunkett, Irene Sharaff",An American in Paris,114,72.0
1951,1952,24,Directing,George Stevens,A Place in the Sun,122,77.0
1951,1952,24,Documentary (feature),"Olle Nordemar, Producer",Kon-Tiki,77,79.0
1951,1952,24,Film Editing,William Hornbeck,A Place in the Sun,122,77.0
1951,1952,24,Music (music Score Of A Dramatic Or Comedy Picture),Franz Waxman,A Place in the Sun,122,77.0
1951,1952,24,Music (scoring Of A Musical Picture),"Johnny Green, Saul Chaplin",An American in Paris,114,72.0
1951,1952,24,Music (song),Music by Hoagy Carmichael; Lyrics by Johnny Mercer,Here Comes the Groom,113,63.0
1951,1952,24,Best Motion Picture,"Arthur Freed, Producer",An American in Paris,114,72.0
1951,1952,24,Short Subject (cartoon),"Fred Quimby, Producer",The Two Mouseketeers,8,75.0
1951,1952,24,Short Subject (two-reel),"Walt Disney, Producer",Nature's Half Acre,33,70.0
1951,1952,24,Sound Recording,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",The Great Caruso,109,65.0
1951,1952,24,Special Effects,Paramount,When Worlds Collide,83,66.0
1951,1952,24,Writing (motion Picture Story),"Paul Dehn, James Bernard",Seven Days to Noon,94,70.0
1951,1952,24,Writing (screenplay),"Michael Wilson, Harry Brown",A Place in the Sun,122,77.0
1951,1952,24,Writing (story And Screenplay),Alan Jay Lerner,An American in Paris,114,72.0
1952,1953,25,Actor,Gary Cooper,High Noon,85,80.0
1952,1953,25,Actor In A Supporting Role,Anthony Quinn,Viva Zapata!,113,73.0
1952,1953,25,Actress,Shirley Booth,"Come Back, Little Sheba",99,75.0
1952,1953,25,Actress In A Supporting Role,Gloria Grahame,The Bad and the Beautiful,118,78.0
1952,1953,25,Art Direction (black-and-white),"Art Direction:  Cedric Gibbons, Edward Carfagno;  Set Decoration:  Edwin B. Willis, Keogh Gleason",The Bad and the Beautiful,118,78.0
1952,1953,25,Art Direction (color),Art Direction:  Paul Sheriff;  Set Decoration:  Marcel Vertes,Moulin Rouge,119,70.0
1952,1953,25,Cinematography (black-and-white),Robert Surtees,The Bad and the Beautiful,118,78.0
1952,1953,25,Cinematography (color),"Winton C. Hoch, Archie Stout",The Quiet Man,129,77.0
1952,1953,25,Costume Design (black-and-white),Helen Rose,The Bad and the Beautiful,118,78.0
1952,1953,25,Costume Design (color),Marcel Vertes,Moulin Rouge,119,70.0
1952,1953,25,Directing,John Ford,The Quiet Man,129,77.0
1952,1953,25,Documentary (feature),"Irwin Allen, Producer",The Sea around Us,62,61.0
1952,1953,25,Documentary (short Subject),"Norman McLaren, Producer",Neighbours,8,79.0
1952,1953,25,Film Editing,"Elmo Williams, Harry Gerstad",High Noon,85,80.0
1952,1953,25,Music (music Score Of A Dramatic Or Comedy Picture),Dimitri Tiomkin,High Noon,85,80.0
1952,1953,25,Music (scoring Of A Musical Picture),Alfred Newman,With a Song in My Heart,117,68.0
1952,1953,25,Music (song),Music by Dimitri Tiomkin; Lyrics by Ned Washington,High Noon,85,80.0
1952,1953,25,Best Motion Picture,"Cecil B. DeMille, Producer",The Greatest Show on Earth,152,66.0
1952,1953,25,Short Subject (cartoon),"Fred Quimby, Producer",Johann Mouse,8,74.0
1952,1953,25,Short Subject (one-reel),"Boris Vermont, Producer",Light in the Window: The Art of Vermeer,85,74.0
1952,1953,25,Short Subject (two-reel),"Walt Disney, Producer",Water Birds,30,66.0
1952,1953,25,Sound Recording,London Film Sound Department,Breaking the Sound Barrier,118,67.0
1952,1953,25,Special Effects,Metro-Goldwyn-Mayer,Plymouth Adventure,105,62.0
1952,1953,25,Writing (motion Picture Story),"Fredric M. Frank, Theodore St. John, Frank Cavett",The Greatest Show on Earth,152,66.0
1952,1953,25,Writing (screenplay),Charles Schnee,The Bad and the Beautiful,118,78.0
1952,1953,25,Writing (story And Screenplay),T. E. B. Clarke,The Lavender Hill Mob,78,75.0
1953,1954,26,Actor,William Holden,Stalag 17,120,80.0
1953,1954,26,Actor In A Supporting Role,Frank Sinatra,From Here to Eternity,118,76.0
1953,1954,26,Actress,Audrey Hepburn,Roman Holiday,118,80.0
1953,1954,26,Actress In A Supporting Role,Donna Reed,From Here to Eternity,118,76.0
1953,1954,26,Art Direction (black-and-white),"Art Direction:  Cedric Gibbons, Edward Carfagno;  Set Decoration:  Edwin B. Willis, Hugh Hunt",Julius Caesar,120,72.0
1953,1954,26,Art Direction (color),"Art Direction:  Lyle Wheeler, George W. Davis;  Set Decoration:  Walter M. Scott, Paul S. Fox",The Robe,135,67.0
1953,1954,26,Cinematography (black-and-white),Burnett Guffey,From Here to Eternity,118,76.0
1953,1954,26,Cinematography (color),Loyal Griggs,Shane,118,76.0
1953,1954,26,Costume Design (black-and-white),Edith Head,Roman Holiday,118,80.0
1953,1954,26,Costume Design (color),"Charles LeMaire, Emile Santiago",The Robe,135,67.0
1953,1954,26,Directing,Fred Zinnemann,From Here to Eternity,118,76.0
1953,1954,26,Documentary (feature),"Walt Disney, Producer",The Living Desert,69,74.0
1953,1954,26,Documentary (short Subject),"Walt Disney, Producer",The Alaskan Eskimo,27,66.0
1953,1954,26,Film Editing,William Lyon,From Here to Eternity,118,76.0
1953,1954,26,Music (music Score Of A Dramatic Or Comedy Picture),Bronislau Kaper,Lili,81,73.0
1953,1954,26,Music (scoring Of A Musical Picture),Alfred Newman,Call Me Madam,114,68.0
1953,1954,26,Music (song),Music by Sammy Fain; Lyrics by Paul Francis Webster,Calamity Jane,101,72.0
1953,1954,26,Best Motion Picture,"Buddy Adler, Producer",From Here to Eternity,118,76.0
1953,1954,26,Short Subject (cartoon),"Walt Disney, Producer","Toot, Whistle, Plunk and Boom",10,71.0
1953,1954,26,Short Subject (one-reel),"Johnny Green, Producer",The Merry Wives of Windsor Overture,9,62.0
1953,1954,26,Short Subject (two-reel),"Walt Disney, Producer",Bear Country,33,78.0
1953,1954,26,Sound Recording,"Columbia Studio Sound Department, John P. Livadary, Sound Director",From Here to Eternity,118,76.0
1953,1954,26,Special Effects,Paramount Studio,The War of the Worlds,85,70.0
1953,1954,26,Writing (motion Picture Story),Dalton Trumbo,Roman Holiday,118,80.0
1953,1954,26,Writing (screenplay),Daniel Taradash,From Here to Eternity,118,76.0
1953,1954,26,Writing (story And Screenplay),"Charles Brackett, Walter Reisch, Richard Breen",Titanic,98,70.0
1954,1955,27,Actor,Marlon Brando,On the Waterfront,108,81.0
1954,1955,27,Actor In A Supporting Role,Edmond O'Brien,The Barefoot Contessa,128,69.0
1954,1955,27,Actress,Grace Kelly,The Country Girl,104,72.0
1954,1955,27,Actress In A Supporting Role,Eva Marie Saint,On the Waterfront,108,81.0
1954,1955,27,Art Direction (black-and-white),Richard Day,On the Waterfront,108,81.0
1954,1955,27,Art Direction (color),Art Direction:  John Meehan;  Set Decoration:  Emile Kuri,"20,000 Leagues under the Sea",127,72.0
1954,1955,27,Cinematography (black-and-white),Boris Kaufman,On the Waterfront,108,81.0
1954,1955,27,Cinematography (color),Milton Krasner,Three Coins in the Fountain,102,62.0
1954,1955,27,Costume Design (black-and-white),Edith Head,Sabrina,113,76.0
1954,1955,27,Costume Design (color),Sanzo Wada,Gate of Hell,89,72.0
1954,1955,27,Directing,Elia Kazan,On the Waterfront,108,81.0
1954,1955,27,Documentary (feature),"Walt Disney, Producer",The Vanishing Prairie,71,72.0
1954,1955,27,Documentary (short Subject),World Wide Pictures and Morse Films,Thursday's Children,21,73.0
1954,1955,27,Film Editing,Gene Milford,On the Waterfront,108,81.0
1954,1955,27,Music (music Score Of A Dramatic Or Comedy Picture),Dimitri Tiomkin,The High and the Mighty,147,67.0
1954,1955,27,Music (scoring Of A Musical Picture),"Adolph Deutsch, Saul Chaplin",Seven Brides for Seven Brothers,102,73.0
1954,1955,27,Music (song),Music by Jule Styne; Lyrics by Sammy Cahn,Three Coins in the Fountain,102,62.0
1954,1955,27,Best Motion Picture,"Sam Spiegel, Producer",On the Waterfront,108,81.0
1954,1955,27,Sound Recording,"Universal-International Studio Sound Department, Leslie I. Carey, Sound Director",The Glenn Miller Story,115,73.0
1954,1955,27,Special Effects,Walt Disney Studios,"20,000 Leagues under the Sea",127,72.0
1954,1955,27,Writing (motion Picture Story),Philip Yordan,Broken Lance,96,69.0
1954,1955,27,Writing (screenplay),George Seaton,The Country Girl,104,72.0
1954,1955,27,Writing (story And Screenplay),Budd Schulberg,On the Waterfront,108,81.0
1955,1956,28,Actor,Ernest Borgnine,Marty,90,77.0
1955,1956,28,Actor In A Supporting Role,Jack Lemmon,Mister Roberts,123,76.0
1955,1956,28,Actress,Anna Magnani,The Rose Tattoo,117,69.0
1955,1956,28,Actress In A Supporting Role,Jo Van Fleet,East of Eden,118,78.0
1955,1956,28,Art Direction (black-and-white),"Art Direction:  Hal Pereira, Tambi Larsen;  Set Decoration:  Sam Comer, Arthur Krams",The Rose Tattoo,117,69.0
1955,1956,28,Art Direction (color),"Art Direction:  William Flannery, Jo Mielziner;  Set Decoration:  Robert Priestley",Picnic,115,70.0
1955,1956,28,Cinematography (black-and-white),James Wong Howe,The Rose Tattoo,117,69.0
1955,1956,28,Cinematography (color),Robert Burks,To Catch a Thief,106,74.0
1955,1956,28,Costume Design (black-and-white),Helen Rose,I'll Cry Tomorrow,117,72.0
1955,1956,28,Costume Design (color),Charles LeMaire,Love Is a Many-Splendored Thing,102,64.0
1955,1956,28,Directing,Delbert Mann,Marty,90,77.0
1955,1956,28,Film Editing,"Charles Nelson, William A. Lyon",Picnic,115,70.0
1955,1956,28,Music (music Score Of A Dramatic Or Comedy Picture),Alfred Newman,Love Is a Many-Splendored Thing,102,64.0
1955,1956,28,Music (scoring Of A Musical Picture),"Robert Russell Bennett, Jay Blackton, Adolph Deutsch",Oklahoma!,145,70.0
1955,1956,28,Music (song),Music by Sammy Fain; Lyrics by Paul Francis Webster,Love Is a Many-Splendored Thing,102,64.0
1955,1956,28,Best Motion Picture,"Harold Hecht, Producer",Marty,90,77.0
1955,1956,28,Short Subject (cartoon),"Edward Selzer, Producer",Speedy Gonzales,7,72.0
1955,1956,28,Sound Recording,"Todd-AO Sound Department, Fred Hynes, Sound Director",Oklahoma!,145,70.0
1955,1956,28,Special Effects,Paramount Studio,The Bridges at Toko-Ri,102,67.0
1955,1956,28,Writing (motion Picture Story),Daniel Fuchs,Love Me or Leave Me,122,71.0
1955,1956,28,Writing (screenplay),Paddy Chayefsky,Marty,90,77.0
1955,1956,28,Writing (story And Screenplay),"William Ludwig, Sonya Levien",Interrupted Melody,106,67.0
1956,1957,29,Actor,Yul Brynner,The King and I,133,74.0
1956,1957,29,Actor In A Supporting Role,Anthony Quinn,Lust for Life,122,73.0
1956,1957,29,Actress,Ingrid Bergman,Anastasia,105,70.0
1956,1957,29,Actress In A Supporting Role,Dorothy Malone,Written on the Wind,99,74.0
1956,1957,29,Art Direction (black-and-white),"Art Direction:  Cedric Gibbons, Malcolm F. Brown;  Set Decoration:  Edwin B. Willis, F. Keogh Gleason",Somebody Up There Likes Me,113,75.0
1956,1957,29,Art Direction (color),"Art Direction:  Lyle R. Wheeler, John DeCuir;  Set Decoration:  Walter M. Scott, Paul S. Fox",The King and I,133,74.0
1956,1957,29,Cinematography (black-and-white),Joseph Ruttenberg,Somebody Up There Likes Me,113,75.0
1956,1957,29,Cinematography (color),Lionel Lindon,Around the World in 80 Days,167,67.0
1956,1957,29,Costume Design (black-and-white),Jean Louis,The Solid Gold Cadillac,99,75.0
1956,1957,29,Costume Design (color),Irene Sharaff,The King and I,133,74.0
1956,1957,29,Directing,George Stevens,Giant,201,76.0
1956,1957,29,Film Editing,"Gene Ruggiero, Paul Weatherwax",Around the World in 80 Days,167,67.0
1956,1957,29,Foreign Language Film,"Italy; Dino De Laurentiis and Carlo Ponti, Producers",La Strada,86,78.0
1956,1957,29,Music (music Score Of A Dramatic Or Comedy Picture),Victor Young,Around the World in 80 Days,167,67.0
1956,1957,29,Music (scoring Of A Musical Picture),"Alfred Newman, Ken Darby",The King and I,133,74.0
1956,1957,29,Music (song),Music and Lyrics by Jay Livingston and Ray Evans,The Man Who Knew Too Much,120,74.0
1956,1957,29,Best Motion Picture,"Michael Todd, Producer",Around the World in 80 Days,167,67.0
1956,1957,29,Short Subject (one-reel),"Konstantin Kalser, Producer",Crashing the Water Barrier,9,60.0
1956,1957,29,Sound Recording,"20th Century-Fox Studio Sound Department, Carl Faulkner, Sound Director",The King and I,133,74.0
1956,1957,29,Special Effects,John Fulton,The Ten Commandments,220,79.0
1956,1957,29,Writing (motion Picture Story),Dalton Trumbo,The Brave One,100,66.0
1956,1957,29,Writing (screenplay--adapted),"James Poe, John Farrow, S.J. Perelman",Around the World in 80 Days,167,67.0
1956,1957,29,Writing (screenplay--original),Albert Lamorisse,The Red Balloon,34,81.0
1957,1958,30,Actor,Alec Guinness,The Bridge on the River Kwai,161,81.0
1957,1958,30,Actor In A Supporting Role,Red Buttons,Sayonara,147,70.0
1957,1958,30,Actress,Joanne Woodward,The Three Faces of Eve,91,72.0
1957,1958,30,Actress In A Supporting Role,Miyoshi Umeki,Sayonara,147,70.0
1957,1958,30,Art Direction,Art Direction:  Ted Haworth;  Set Decoration:  Robert Priestley,Sayonara,147,70.0
1957,1958,30,Cinematography,Jack Hildyard,The Bridge on the River Kwai,161,81.0
1957,1958,30,Costume Design,Orry-Kelly,Les Girls,114,66.0
1957,1958,30,Directing,David Lean,The Bridge on the River Kwai,161,81.0
1957,1958,30,Documentary (feature),"Jerome Hill, Producer",Albert Schweitzer,85,60.0
1957,1958,30,Film Editing,Peter Taylor,The Bridge on the River Kwai,161,81.0
1957,1958,30,Foreign Language Film,Italy,The Nights of Cabiria,110,81.0
1957,1958,30,Music (scoring),Malcolm Arnold,The Bridge on the River Kwai,161,81.0
1957,1958,30,Music (song),Music by James Van Heusen; Lyrics by Sammy Cahn,The Joker Is Wild,126,70.0
1957,1958,30,Best Motion Picture,"Sam Spiegel, Producer",The Bridge on the River Kwai,161,81.0
1957,1958,30,Short Subject (cartoon),"Edward Selzer, Producer",Birds Anonymous,7,76.0
1957,1958,30,Sound Recording,"Warner Bros. Studio Sound Department, George Groves, Sound Director",Sayonara,147,70.0
1957,1958,30,Special Effects,Audible Effects by Walter Rossi,The Enemy Below,98,74.0
1957,1958,30,Writing (screenplay--based On Material From Another Medium),"Michael Wilson, Carl Foreman, Pierre Boulle",The Bridge on the River Kwai,161,81.0
1957,1958,30,Writing (story And Screenplay--written Directly For The Screen),George Wells,Designing Woman,118,67.0
1958,1959,31,Actor,David Niven,Separate Tables,100,74.0
1958,1959,31,Actor In A Supporting Role,Burl Ives,The Big Country,166,79.0
1958,1959,31,Actress,Susan Hayward,I Want to Live!,120,75.0
1958,1959,31,Actress In A Supporting Role,Wendy Hiller,Separate Tables,100,74.0
1958,1959,31,Art Direction,"Art Direction:  William A. Horning, Preston Ames;  Set Decoration:  Henry Grace, Keogh Gleason",Gigi,115,66.0
1958,1959,31,Cinematography (black-and-white),Sam Leavitt,The Defiant Ones,96,76.0
1958,1959,31,Cinematography (color),Joseph Ruttenberg,Gigi,115,66.0
1958,1959,31,Costume Design,Cecil Beaton,Gigi,115,66.0
1958,1959,31,Directing,Vincente Minnelli,Gigi,115,66.0
1958,1959,31,Documentary (feature),"Ben Sharpsteen, Producer",White Wilderness,72,54.0
1958,1959,31,Documentary (short Subject),"Ben Sharpsteen, Producer",Ama Girls,29,64.0
1958,1959,31,Film Editing,Adrienne Fazan,Gigi,115,66.0
1958,1959,31,Foreign Language Film,France,My Uncle,120,77.0
1958,1959,31,Music (music Score Of A Dramatic Or Comedy Picture),Dimitri Tiomkin,The Old Man and the Sea,86,69.0
1958,1959,31,Music (scoring Of A Musical Picture),Andre Previn,Gigi,115,66.0
1958,1959,31,Music (song),Music by Frederick Loewe; Lyrics by Alan Jay Lerner,Gigi,115,66.0
1958,1959,31,Best Motion Picture,"Arthur Freed, Producer",Gigi,115,66.0
1958,1959,31,Short Subject (cartoon),"John W. Burton, Producer",Knighty Knight Bugs,6,75.0
1958,1959,31,Short Subject (live Action),"Walt Disney, Producer",Grand Canyon,29,70.0
1958,1959,31,Sound,"Todd-AO Sound Department, Fred Hynes, Sound Director",South Pacific,157,68.0
1958,1959,31,Special Effects,Visual Effects by Tom Howard,tom thumb,98,64.0
1958,1959,31,Writing (screenplay--based On Material From Another Medium),Alan Jay Lerner,Gigi,115,66.0
1958,1959,31,Writing (story And Screenplay--written Directly For The Screen),"Nedrick Young, Harold Jacob Smith",The Defiant Ones,96,76.0
1959,1960,32,Actor,Charlton Heston,Ben-Hur,212,81.0
1959,1960,32,Actor In A Supporting Role,Hugh Griffith,Ben-Hur,212,81.0
1959,1960,32,Actress,Simone Signoret,Room at the Top,117,75.0
1959,1960,32,Actress In A Supporting Role,Shelley Winters,The Diary of Anne Frank,180,74.0
1959,1960,32,Art Direction (black-and-white),"Art Direction:  Lyle R. Wheeler, George W. Davis;  Set Decoration:  Walter M. Scott, Stuart A. Reiss",The Diary of Anne Frank,180,74.0
1959,1960,32,Art Direction (color),"Art Direction:  William A. Horning, Edward Carfagno;  Set Decoration:  Hugh Hunt",Ben-Hur,212,81.0
1959,1960,32,Cinematography (black-and-white),William C. Mellor,The Diary of Anne Frank,180,74.0
1959,1960,32,Cinematography (color),Robert L. Surtees,Ben-Hur,212,81.0
1959,1960,32,Costume Design (black-and-white),Orry-Kelly,Some Like It Hot,121,82.0
1959,1960,32,Costume Design (color),Elizabeth Haffenden,Ben-Hur,212,81.0
1959,1960,32,Directing,William Wyler,Ben-Hur,212,81.0
1959,1960,32,Film Editing,"Ralph E. Winters, John D. Dunning",Ben-Hur,212,81.0
1959,1960,32,Foreign Language Film,France,Black Orpheus,100,74.0
