year_film,year_ceremony,ceremony,category,film
1946,1947,19,SHORT SUBJECT (Cartoon),The Cat Concerto
1946,1947,19,SHORT SUBJECT (One-reel),Facing Your Danger
1946,1947,19,SHORT SUBJECT (Two-reel),A Boy and His Dog
1946,1947,19,SPECIAL EFFECTS,Blithe Spirit
1947,1948,20,DOCUMENTARY (Feature),Design for Death
1947,1948,20,DOCUMENTARY (Short Subject),First Steps
1947,1948,20,MUSIC (Song),Song of the South
1947,1948,20,SHORT SUBJECT (Cartoon),Tweetie Pie
1947,1948,20,SHORT SUBJECT (One-reel),Good-bye Miss Turlock
1947,1948,20,SHORT SUBJECT (Two-reel),Climbing the Matterhorn
1947,1948,20,SPECIAL EFFECTS,Green Dolphin Street
1948,1949,21,DOCUMENTARY (Feature),The Secret Land
1948,1949,21,DOCUMENTARY (Short Subject),Toward Independence
1948,1949,21,MUSIC (Song),The Paleface
1948,1949,21,SHORT SUBJECT (Cartoon),The Little Orphan
1948,1949,21,SHORT SUBJECT (One-reel),Symphony of a City
1948,1949,21,SHORT SUBJECT (Two-reel),Seal Island
1948,1949,21,SPECIAL EFFECTS,Portrait of Jennie
1949,1950,22,DOCUMENTARY (Feature),Daybreak in Udi
1949,1950,22,DOCUMENTARY (Short Subject),A Chance to Live
1949,1950,22,DOCUMENTARY (Short Subject),So Much for So Little
1949,1950,22,MUSIC (Song),Neptune's Daughter
1949,1950,22,SHORT SUBJECT (Cartoon),For Scent-Imental Reasons
1949,1950,22,SHORT SUBJECT (One-reel),Aquatic House-Party
1949,1950,22,SHORT SUBJECT (Two-reel),Van Gogh
1949,1950,22,SPECIAL EFFECTS,Mighty Joe Young
1950,1951,23,DOCUMENTARY (Feature),The Titan: Story of Michelangelo
1950,1951,23,DOCUMENTARY (Short Subject),Why Korea?
1950,1951,23,MUSIC (Song),"Captain Carey, U.S.A."
1950,1951,23,SHORT SUBJECT (Cartoon),Gerald McBoing-Boing
1950,1951,23,SHORT SUBJECT (One-reel),Grandad of Races
1950,1951,23,SHORT SUBJECT (Two-reel),In Beaver Valley
1950,1951,23,SPECIAL EFFECTS,Destination Moon
1951,1952,24,DOCUMENTARY (Feature),Kon-Tiki
1951,1952,24,DOCUMENTARY (Short Subject),Benjy
1951,1952,24,MUSIC (Song),Here Comes the Groom
1951,1952,24,SHORT SUBJECT (Cartoon),The Two Mouseketeers
1951,1952,24,SHORT SUBJECT (One-reel),World of Kids
1951,1952,24,SHORT SUBJECT (Two-reel),Nature's Half Acre
1951,1952,24,SPECIAL EFFECTS,When Worlds Collide
1952,1953,25,DOCUMENTARY (Feature),The Sea around Us
1952,1953,25,DOCUMENTARY (Short Subject),Neighbours
1952,1953,25,MUSIC (Song),High Noon
1952,1953,25,SHORT SUBJECT (Cartoon),Johann Mouse
1952,1953,25,SHORT SUBJECT (One-reel),Light in the Window: The Art of Vermeer
1952,1953,25,SHORT SUBJECT (Two-reel),Water Birds
1952,1953,25,SPECIAL EFFECTS,Plymouth Adventure
1953,1954,26,DOCUMENTARY (Feature),The Living Desert
1953,1954,26,DOCUMENTARY (Short Subject),The Alaskan Eskimo
1953,1954,26,MUSIC (Song),Calamity Jane
1953,1954,26,SHORT SUBJECT (Cartoon),"Toot, Whistle, Plunk and Boom"
1953,1954,26,SHORT SUBJECT (One-reel),The Merry Wives of Windsor Overture
1953,1954,26,SHORT SUBJECT (Two-reel),Bear Country
1953,1954,26,SPECIAL EFFECTS,The War of the Worlds
1954,1955,27,DOCUMENTARY (Feature),The Vanishing Prairie
1954,1955,27,DOCUMENTARY (Short Subject),Thursday's Children
1954,1955,27,MUSIC (Song),Three Coins in the Fountain
1954,1955,27,SHORT SUBJECT (Cartoon),When Magoo Flew
1954,1955,27,SHORT SUBJECT (One-reel),This Mechanical Age
1954,1955,27,SHORT SUBJECT (Two-reel),A Time Out of War
1954,1955,27,SPECIAL EFFECTS,"20,000 Leagues under the Sea"
1955,1956,28,DOCUMENTARY (Feature),Helen Keller in Her Story
1955,1956,28,DOCUMENTARY (Short Subject),Men against the Arctic
1955,1956,28,MUSIC (Song),Love Is a Many-Splendored Thing
1955,1956,28,SHORT SUBJECT (Cartoon),Speedy Gonzales
1955,1956,28,SHORT SUBJECT (One-reel),Survival City
1955,1956,28,SHORT SUBJECT (Two-reel),The Face of Lincoln
1955,1956,28,SPECIAL EFFECTS,The Bridges at Toko-Ri
1956,1957,29,DOCUMENTARY (Feature),The Silent World
1956,1957,29,DOCUMENTARY (Short Subject),The True Story of the Civil War
1956,1957,29,FOREIGN LANGUAGE FILM,La Strada
1956,1957,29,MUSIC (Song),The Man Who Knew Too Much
1956,1957,29,SHORT SUBJECT (Cartoon),Mister Magoo's Puddle Jumper
1956,1957,29,SHORT SUBJECT (One-reel),Crashing the Water Barrier
1956,1957,29,SHORT SUBJECT (Two-reel),The Bespoke Overcoat
1956,1957,29,SPECIAL EFFECTS,The Ten Commandments
1957,1958,30,DOCUMENTARY (Feature),Albert Schweitzer
1957,1958,30,FOREIGN LANGUAGE FILM,The Nights of Cabiria
1957,1958,30,MUSIC (Scoring),The Bridge on the River Kwai
1957,1958,30,MUSIC (Song),The Joker Is Wild
1957,1958,30,SHORT SUBJECT (Cartoon),Birds Anonymous
1957,1958,30,SPECIAL EFFECTS,The Enemy Below
1958,1959,31,DOCUMENTARY (Feature),White Wilderness
1958,1959,31,DOCUMENTARY (Short Subject),Ama Girls
1958,1959,31,FOREIGN LANGUAGE FILM,My Uncle
1958,1959,31,MUSIC (Song),Gigi
1958,1959,31,SHORT SUBJECT (Cartoon),Knighty Knight Bugs
1958,1959,31,SPECIAL EFFECTS,tom thumb
1959,1960,32,DOCUMENTARY (Feature),Serengeti Shall Not Die
1959,1960,32,DOCUMENTARY (Short Subject),Glass
1959,1960,32,FOREIGN LANGUAGE FILM,Black Orpheus
1959,1960,32,MUSIC (Song),A Hole in the Head
1959,1960,32,SHORT SUBJECT (Cartoon),Moonbird
1959,1960,32,SPECIAL EFFECTS,Ben-Hur
1960,1961,33,DOCUMENTARY (Feature),The Horse with the Flying Tail
1960,1961,33,DOCUMENTARY (Short Subject),Giuseppina
1960,1961,33,FOREIGN LANGUAGE FILM,The Virgin Spring
1960,1961,33,MUSIC (Song),Never on Sunday
1960,1961,33,SHORT SUBJECT (Cartoon),Munro
1960,1961,33,SPECIAL EFFECTS,The Time Machine
1961,1962,34,DOCUMENTARY (Feature),Le Ciel et la Boue (Sky Above and Mud Beneath)
1961,1962,34,DOCUMENTARY (Short Subject),Project Hope
1961,1962,34,FOREIGN LANGUAGE FILM,Through a Glass Darkly
1961,1962,34,MUSIC (Song),Breakfast at Tiffany's
1961,1962,34,SHORT SUBJECT (Cartoon),Ersatz (The Substitute)
1961,1962,34,SPECIAL EFFECTS,The Guns of Navarone
1962,1963,35,DOCUMENTARY (Feature),Black Fox
1962,1963,35,DOCUMENTARY (Short Subject),Dylan Thomas
1962,1963,35,FOREIGN LANGUAGE FILM,Sundays and Cybele
1962,1963,35,MUSIC (Song),Days of Wine and Roses
1962,1963,35,BEST PICTURE,Lawrence of Arabia
1962,1963,35,SHORT SUBJECT (Cartoon),The Hole
1962,1963,35,SPECIAL EFFECTS,The Longest Day
1963,1964,36,DOCUMENTARY (Feature),Robert Frost: A Lover's Quarrel with the World
