year_film,year_ceremony,ceremony,category,film
2001,2002,74,DOCUMENTARY (Feature),Murder on a Sunday Morning
2001,2002,74,DOCUMENTARY (Short Subject),Thoth
2001,2002,74,FOREIGN LANGUAGE FILM,No Man's Land
2001,2002,74,BEST PICTURE,A Beautiful Mind
2001,2002,74,SHORT FILM (Animated),For the Birds
2001,2002,74,SHORT FILM (Live Action),the accountant
2002,2003,75,ANIMATED FEATURE FILM,Spirited Away
2002,2003,75,DOCUMENTARY (Feature),Bowling for Columbine
2002,2003,75,DOCUMENTARY (Short Subject),Twin Towers
2002,2003,75,FOREIGN LANGUAGE FILM,Nowhere in Africa
2002,2003,75,BEST PICTURE,Chicago
2002,2003,75,SHORT FILM (Animated),The ChubbChubbs!
2002,2003,75,SHORT FILM (Live Action),This Charming Man (Der Er En Yndig Mand)
2003,2004,76,ANIMATED FEATURE FILM,Finding Nemo
2003,2004,76,DOCUMENTARY (Feature),The Fog of War
2003,2004,76,DOCUMENTARY (Short Subject),Chernobyl Heart
2003,2004,76,FOREIGN LANGUAGE FILM,The Barbarian Invasions
2003,2004,76,BEST PICTURE,The Lord of the Rings: The Return of the King
2003,2004,76,SHORT FILM (Animated),Harvie Krumpet
2003,2004,76,SHORT FILM (Live Action),Two Soldiers
2004,2005,77,ANIMATED FEATURE FILM,The Incredibles
2004,2005,77,DOCUMENTARY (Feature),Born into Brothels
2004,2005,77,DOCUMENTARY (Short Subject),Mighty Times: The Children's March
2004,2005,77,FOREIGN LANGUAGE FILM,The Sea Inside
2004,2005,77,BEST PICTURE,Million Dollar Baby
2004,2005,77,SHORT FILM (Animated),Ryan
2004,2005,77,SHORT FILM (Live Action),Wasp
2005,2006,78,ANIMATED FEATURE FILM,Wallace & Gromit in The Curse of the Were-Rabbit
2005,2006,78,DOCUMENTARY (Feature),March of the Penguins
2005,2006,78,DOCUMENTARY (Short Subject),A Note of Triumph: The Golden Age of Norman Corwin
2005,2006,78,FOREIGN LANGUAGE FILM,Tsotsi
2005,2006,78,BEST PICTURE,Crash
2005,2006,78,SHORT FILM (Animated),The Moon and the Son: An Imagined Conversation
2005,2006,78,SHORT FILM (Live Action),Six Shooter
2006,2007,79,ANIMATED FEATURE FILM,Happy Feet
2006,2007,79,DOCUMENTARY (Feature),An Inconvenient Truth
2006,2007,79,DOCUMENTARY (Short Subject),The Blood of Yingzhou District
2006,2007,79,FOREIGN LANGUAGE FILM,The Lives of Others
2006,2007,79,BEST PICTURE,The Departed
2006,2007,79,SHORT FILM (Animated),The Danish Poet
2006,2007,79,SHORT FILM (Live Action),West Bank Story
2007,2008,80,ANIMATED FEATURE FILM,Ratatouille
2007,2008,80,DOCUMENTARY (Feature),Taxi to the Dark Side
2007,2008,80,DOCUMENTARY (Short Subject),Freeheld
2007,2008,80,FOREIGN LANGUAGE FILM,The Counterfeiters
2007,2008,80,BEST PICTURE,No Country for Old Men
2007,2008,80,SHORT FILM (Animated),Peter & the Wolf
2007,2008,80,SHORT FILM (Live Action),Le Mozart des Pickpockets (The Mozart of Pickpockets)
2008,2009,81,ANIMATED FEATURE FILM,WALL-E
2008,2009,81,DOCUMENTARY (Feature),Man on Wire
2008,2009,81,DOCUMENTARY (Short Subject),Smile Pinki
2008,2009,81,FOREIGN LANGUAGE FILM,Departures
2008,2009,81,BEST PICTURE,Slumdog Millionaire
2008,2009,81,SHORT FILM (Animated),La Maison en Petits Cubes
2008,2009,81,SHORT FILM (Live Action),Spielzeugland (Toyland)
2009,2010,82,ANIMATED FEATURE FILM,Up
2009,2010,82,DOCUMENTARY (Feature),The Cove
2009,2010,82,DOCUMENTARY (Short Subject),Music by Prudence
2009,2010,82,FOREIGN LANGUAGE FILM,The Secret in Their Eyes
2009,2010,82,BEST PICTURE,The Hurt Locker
2009,2010,82,SHORT FILM (Animated),Logorama
2009,2010,82,SHORT FILM (Live Action),The New Tenants
2010,2011,83,ANIMATED FEATURE FILM,Toy Story 3
2010,2011,83,DOCUMENTARY (Feature),Inside Job
2010,2011,83,DOCUMENTARY (Short Subject),Strangers No More
2010,2011,83,FOREIGN LANGUAGE FILM,In a Better World
2010,2011,83,BEST PICTURE,The King's Speech
2010,2011,83,SHORT FILM (Animated),The Lost Thing
2010,2011,83,SHORT FILM (Live Action),God of Love
2011,2012,84,ANIMATED FEATURE FILM,Rango
2011,2012,84,DOCUMENTARY (Feature),Undefeated
2011,2012,84,DOCUMENTARY (Short Subject),Saving Face
2011,2012,84,FOREIGN LANGUAGE FILM,A Separation
2011,2012,84,BEST PICTURE,The Artist
2011,2012,84,SHORT FILM (Animated),The Fantastic Flying Books of Mr. Morris Lessmore
2011,2012,84,SHORT FILM (Live Action),The Shore
2012,2013,85,ANIMATED FEATURE FILM,Brave
2012,2013,85,DOCUMENTARY (Feature),Searching for Sugar Man
2012,2013,85,DOCUMENTARY (Short Subject),Inocente
2012,2013,85,FOREIGN LANGUAGE FILM,Amour
2012,2013,85,BEST PICTURE,Argo
2012,2013,85,SHORT FILM (Animated),Paperman
2012,2013,85,SHORT FILM (Live Action),Curfew
2013,2014,86,ANIMATED FEATURE FILM,Frozen
2013,2014,86,DOCUMENTARY (Feature),20 Feet from Stardom
2013,2014,86,DOCUMENTARY (Short Subject),The Lady in Number 6: Music Saved My Life
2013,2014,86,FOREIGN LANGUAGE FILM,The Great Beauty
2013,2014,86,BEST PICTURE,12 Years a Slave
2013,2014,86,SHORT FILM (Animated),Mr. Hublot
2013,2014,86,SHORT FILM (Live Action),Helium
2014,2015,87,ANIMATED FEATURE FILM,Big Hero 6
2014,2015,87,DOCUMENTARY (Feature),CitizenFour
2014,2015,87,DOCUMENTARY (Short Subject),Crisis Hotline: Veterans Press 1
2014,2015,87,FOREIGN LANGUAGE FILM,Ida
2014,2015,87,BEST PICTURE,Birdman or (The Unexpected Virtue of Ignorance)
2014,2015,87,SHORT FILM (Animated),Feast
2014,2015,87,SHORT FILM (Live Action),The Phone Call
2015,2016,88,ANIMATED FEATURE FILM,Inside Out
2015,2016,88,DOCUMENTARY (Feature),Amy
2015,2016,88,DOCUMENTARY (Short Subject),A Girl in the River: The Price of Forgiveness
2015,2016,88,FOREIGN LANGUAGE FILM,Son of Saul
2015,2016,88,BEST PICTURE,Spotlight
2015,2016,88,SHORT FILM (Animated),Bear Story
2015,2016,88,SHORT FILM (Live Action),Stutterer
2016,2017,89,ANIMATED FEATURE FILM,Zootopia
2016,2017,89,DOCUMENTARY (Feature),O.J.: Made in America
2016,2017,89,DOCUMENTARY (Short Subject),The White Helmets
2016,2017,89,FOREIGN LANGUAGE FILM,The Salesman
2016,2017,89,BEST PICTURE,Moonlight
2016,2017,89,SHORT FILM (Animated),Piper
2016,2017,89,SHORT FILM (Live Action),Sing
2017,2018,90,ANIMATED FEATURE FILM,Coco
2017,2018,90,DOCUMENTARY (Feature),Icarus
2017,2018,90,DOCUMENTARY (Short Subject),Heaven Is a Traffic Jam on the 405
2017,2018,90,FOREIGN LANGUAGE FILM,A Fantastic Woman
2017,2018,90,BEST PICTURE,The Shape of Water
2017,2018,90,SHORT FILM (Animated),Dear Basketball
2017,2018,90,SHORT FILM (Live Action),The Silent Child
2018,2019,91,ANIMATED FEATURE FILM,Spider-Man: Into the Spider-Verse
2018,2019,91,DOCUMENTARY (Feature),Free Solo
2018,2019,91,DOCUMENTARY (Short Subject),Period. End of Sentence.
2018,2019,91,FOREIGN LANGUAGE FILM,Roma
2018,2019,91,BEST PICTURE,Green Book
2018,2019,91,SHORT FILM (Animated),Bao
2018,2019,91,SHORT FILM (Live Action),Skin
2019,2020,92,ANIMATED FEATURE FILM,Toy Story 4
2019,2020,92,DOCUMENTARY (Feature),American Factory
2019,2020,92,DOCUMENTARY (Short Subject),Learning to Skateboard in a Warzone (If You're a Girl)
2019,2020,92,INTERNATIONAL FEATURE FILM,Parasite
2019,2020,92,BEST PICTURE,Parasite
2019,2020,92,SHORT FILM (Animated),Hair Love
2019,2020,92,SHORT FILM (Live Action),The Neighbors' Window
2020,2021,93,ANIMATED FEATURE FILM,Soul
2020,2021,93,DOCUMENTARY (Feature),My Octopus Teacher
2020,2021,93,DOCUMENTARY (Short Subject),Colette
2020,2021,93,INTERNATIONAL FEATURE FILM,Another Round
2020,2021,93,BEST PICTURE,Nomadland
2020,2021,93,SHORT FILM (Animated),If Anything Happens I Love You
2020,2021,93,SHORT FILM (Live Action),Two Distant Strangers
2021,2022,94,ANIMATED FEATURE FILM,Encanto
2021,2022,94,DOCUMENTARY (Feature),"Summer of Soul (...Or, When the Revolution Could Not Be Televised)"
2021,2022,94,DOCUMENTARY (Short Subject),The Queen of Basketball
2021,2022,94,INTERNATIONAL FEATURE FILM,Drive My Car
2021,2022,94,BEST PICTURE,CODA
2021,2022,94,SHORT FILM (Animated),The Windshield Wiper
2021,2022,94,SHORT FILM (Live Action),The Long Goodbye
2022,2023,95,ANIMATED FEATURE FILM,Guillermo del Toro's Pinocchio
2022,2023,95,DOCUMENTARY FEATURE FILM,Navalny
2022,2023,95,DOCUMENTARY SHORT FILM,The Elephant Whisperers
2022,2023,95,INTERNATIONAL FEATURE FILM,All Quiet on the Western Front
2022,2023,95,BEST PICTURE,Everything Everywhere All at Once
2022,2023,95,SHORT FILM (Animated),"The Boy, the Mole, the Fox and the Horse"
2022,2023,95,SHORT FILM (Live Action),An Irish Goodbye
